Revisé la crítica punto por punto contra la lógica que armamos. Es un análisis sólido — coincido con la mayoría, y en un punto hice mi propia verificación matemática independiente porque es el más grave de todos.

Donde tiene toda la razón

Punto 3 — el bug de SALDO_ACTUAL - MONTO_DESEMBOLSADO — es real, y lo verifiqué con números propios:

Portafolio de 2 créditos. Crédito A: t0=100, desembolso=20, t1=115 (existía y recibió un desembolso adicional). Crédito B: t0=900, t1=900 (sin cambios).

STOCK_INICIAL total = 1000        STOCK_FINAL total = 1015

NUEVOS      = 20                  (desembolso de A)
AMORTIZACION (mi formula) = (115-20) + (900-900) = 95
FUGA        = 0

RHS = 1000 + 20 + 95 + 0 = 1115   ≠   LHS = 1015     → error de 100

El error de reconciliación es exactamente el SALDO_ANTERIOR del crédito que desembolsó de nuevo (100) — porque mi fórmula (copiada literalmente de la query mensual de Bryan) nunca lo resta. Esto rompe la identidad algebraica de verdad, no es solo un tema de nombres. Y tienen razón en que a grano diario esto va a pasar con más frecuencia que a grano mensual (líneas revolventes, tramos adicionales, etc.). Corrección aceptada sin reservas: debe ser SALDO_ACTUAL - SALDO_ANTERIOR - MONTO_DESEMBOLSADO siempre, sin importar la clasificación.

Punto 4 — el filtro ACCOUNT_NUMBER IS NOT NULL contaminando STOCK_FINAL: correcto y me preocupa más que el punto 3, porque ya validamos en el turno anterior que el STOCK_FINAL agregado (sin ese filtro) coincidía exacto con Power BI. Si ahora filtro por ACCOUNT_NUMBER IS NOT NULL antes de sumar el stock total, puedo estar rompiendo silenciosamente esa validación ya confirmada. Corrección aceptada: el stock oficial debe salir de la tabla sin filtrar; el filtro por crédito solo aplica a la clasificación de movimientos, no al total.

Punto 6 — clasificar como AMORTIZACION/FUGA lo que en realidad son días sin desembolsos cargados (18-23 sep): es un bug real que yo mismo debí prevenir, porque la query original que estábamos adaptando ya tenía ese control (ESTADO_CALIDAD='PENDIENTE_DESEMBOLSOS') y no lo trasladé a la versión de movimientos. Corrección aceptada: NUEVOS, AMORTIZACION, FUGA y ERROR_RECONCILIACION deben quedar NULL después de FECHA_HASTA_COMPLETA.

Punto 5 — efecto tipo de cambio: válido. Y vale aclarar algo: este problema no lo introduje yo, ya estaba en la query mensual original de Bryan — su COMPARACION también resta saldos en soles de dos fechas con TC potencialmente distinto sin aislar el efecto. Es una mejora legítima para la v2, aunque conviene medir primero qué porcentaje del portafolio es USD antes de invertir esfuerzo ahí (si es <1%, el impacto es marginal).

Donde matizo (no es que estén equivocados, es una precisión)

Punto 2 — la clasificación "agresiva" (t0=100, t1=105, sin desembolso → AMORTIZACION=+5): aquí sí quiero ser preciso sobre el mecanismo. Esto no rompe la identidad de reconciliación (a diferencia del punto 3): si a un crédito que continúa le sumas SALDO_ACTUAL - SALDO_ANTERIOR tal cual, el álgebra cierra siempre, sin importar el signo. El problema es puramente de interpretación para el pronóstico: estás mezclando bajo la etiqueta "amortización" tanto pagos reales como incrementos no explicados, lo cual sí ensucia la señal que quieres pronosticar. Coincido en que separar OTRO_POSITIVO de AMORTIZACION (residual<0 vs >0) es la forma correcta de no ensuciar esa serie — solo quería que quede claro que es un problema de calidad de señal, no de cuadre matemático.

Sobre la query de validación de grano

La lógica de su query de validación (normalizar quitando ceros a la izquierda y cruzar CIF_KEY+crédito entre FEM_SALDOS_DIARIOS y FEM_ALL_INSTR en una fecha común) está bien construida — es exactamente la prueba correcta. Una sola sugerencia menor: corrieron el chequeo sobre un solo día (2026-08-31); yo agregaría 1-2 fechas más de fin de mes para confirmar que el porcentaje de match es estable en el tiempo y no una coincidencia de ese corte específico.

Siguiente paso

Estoy de acuerdo en no construir la v2 completa todavía — sería apostar 800 líneas sobre un supuesto sin probar. Corre la validación de grano (con 2-3 fechas si puedes) y tráeme:

CREDITOS_DIARIO, CREDITOS_MATCH, CREDITOS_SIN_MATCH, PORCENTAJE_MATCH, CREDITOS_MULTIMONEDA

Con eso, construyo la BaseMotor_Diaria_v2 ya con las tres correcciones obligatorias incorporadas (fórmula de amortización corregida, stock oficial sin filtrar, nulos después del corte de desembolsos) más FUGA_CANDIDATA, OTRO_POSITIVO/NEGATIVO y — si el % de USD lo justifica — EFECTO_TC separado.


Query anterior:
output:
FECHA_SNAPSHOT	FECHA_SNAPSHOT_ANT	DIAS_INTERVALO	STOCK_INICIAL	STOCK_FINAL	NUEVOS	AMORTIZACION	FUGA	CLIENTES_INICIAL	CLIENTES_FINAL	CREDITOS_INICIAL	CREDITOS_FINAL	STOCK_CALCULADO	ERROR_RECONCILIACION
7/31/2026	7/30/2026	1	3644665757	3649397014	21600387.84	6938333.94	-23807464.95	141870	142324	150943	151991	3649397014	0
8/3/2026	7/31/2026	3	3649397014	3638008771	25402637	-1116736.54	-35674143.05	142324	136867	151991	141681	3638008771	0
8/4/2026	8/3/2026	1	3638008771	3638292799	17408687	1824247.63	-18948907.24	136867	137238	141681	142270	3638292799	0
8/5/2026	8/4/2026	1	3638292799	3650279653	22154367	4300455.29	-14467967.77	137238	137701	142270	142897	3650279653	0
8/7/2026	8/5/2026	2	3650279653	3668126868	28201895	2647351.28	-13002032.13	137701	138421	142897	143782	3668126868	0
8/10/2026	8/7/2026	3	3668126868	3692810170	37429027	3262938.56	-16008662.72	138421	139418	143782	144989	3692810170	0
8/11/2026	8/10/2026	1	3692810170	3707020908	22824594	5119336.06	-13733192.16	139418	139929	144989	145638	3707020908	0
8/12/2026	8/11/2026	1	3707020908	3721012717	22406442	4277128.94	-12691762.48	139929	140411	145638	146263	3721012717	0
8/13/2026	8/12/2026	1	3721012717	3733552332	22226420	3507237.97	-13194042.33	140411	140940	146263	146925	3733552332	0
8/14/2026	8/13/2026	1	3733552332	3742786151	22146154	9586461.69	-22498796.8	140940	141542	146925	148129	3742786151	0
8/17/2026	8/14/2026	3	3742786151	3752860239	39997461	-1647509.84	-28275863.78	141542	142933	148129	150645	3752860239	0
8/18/2026	8/17/2026	1	3752860239	3762023180	20197998	2286181.7	-13321238.84	142933	143510	150645	151412	3762023180	0
8/19/2026	8/18/2026	1	3762023180	3772816735	21486800	4003531.88	-14696776.79	143510	144066	151412	152154	3772816735	0
8/20/2026	8/19/2026	1	3772816735	3782360779	17788177	2652849.17	-10896982.25	144066	144581	152154	152842	3782360779	0
8/21/2026	8/20/2026	1	3782360779	3791298746	20672229	5982567	-17716828.57	144581	145137	152842	153683	3791298746	0
8/24/2026	8/21/2026	3	3791298746	3802029776	25283462	1423284.51	-15975716.7	145137	146091	153683	154866	3802029776	0
8/25/2026	8/24/2026	1	3802029776	3793530405	16610392	3101669.8	-28211432.75	146091	146551	154866	155490	3793530405	0
8/26/2026	8/25/2026	1	3793530405	3800427345	18990834	4670757.12	-16764650.63	146551	147024	155490	156177	3800427345	0
8/27/2026	8/26/2026	1	3800427345	3810997322	21839356	4147209.35	-15416588.72	147024	147491	156177	156865	3810997322	0
8/28/2026	8/27/2026	1	3810997322	3819847583	24001261	1630991.9	-16781992.22	147491	147943	156865	157637	3819847583	0
8/31/2026	8/28/2026	3	3819847583	3830483849	37672059	-3743973.73	-23291819.04	147943	149034	157637	159053	3830483849	0
9/1/2026	8/31/2026	1	3830483849	3828195010	18294683	16886579.23	-37470101.13	149034	142318	159053	144594	3828195010	0
9/2/2026	9/1/2026	1	3828195010	3821431382	17854151.4	-8775812.58	-15841966.39	142318	142715	144594	146791	3821431382	0
9/3/2026	9/2/2026	1	3821431382	3821762946	15007004.62	-774695.45	-13900745.64	142715	143073	146791	147304	3821762946	0
9/4/2026	9/3/2026	1	3821762946	3822462211	14019028	-2282919.88	-11036842.66	143073	143448	147304	147818	3822462211	0
9/7/2026	9/4/2026	3	3822462211	3833470692	26964668.27	665877.66	-16622065.71	143448	144321	147818	148924	3833470692	0
9/8/2026	9/7/2026	1	3833470692	3837053318	14452266	2280681.64	-13150320.83	144321	144701	148924	149459	3837053318	0
9/9/2026	9/8/2026	1	3837053318	3840925636	14845462.8	19470738.46	-30443883.4	144701	145018	149459	150624	3840925636	0
9/10/2026	9/9/2026	1	3840925636	3844876795	12794344.8	4379753.54	-13222939.82	145018	145330	150624	151100	3844876795	0
9/11/2026	9/10/2026	1	3844876795	3852026392	17175111	3491232.5	-13516746.73	145330	145684	151100	151610	3852026392	0
9/14/2026	9/11/2026	3	3852026392	3866076586	32091272.53	1933433.65	-19974512.01	145684	146553	151610	152791	3866076586	0
9/15/2026	9/14/2026	1	3866076586	3872792167	20080691.43	2611337.82	-15976448.4	146553	147028	152791	153474	3872792167	0
9/16/2026	9/15/2026	1	3872792167	3879711961	19955468	9636358.16	-22672032.24	147028	147482	153474	154117	3879711961	0
9/17/2026	9/16/2026	1	3879711961	3882029940	20874941.1	-2321310.12	-16235651.91	147482	147919	154117	155416	3882029940	0
9/18/2026	9/17/2026	1	3882029940	3892726519	0	22570984.22	-11874404.33	147919	148446	155416	156115	3892726519	0
9/21/2026	9/18/2026	3	3892726519	3906277033	0	34329137.98	-20778624.1	148446	149686	156115	157624	3906277033	0
9/22/2026	9/21/2026	1	3906277033	3895829907	0	24193737.77	-34640863.95	149686	150169	157624	158284	3895829907	0
9/23/2026	9/22/2026	1	3895829907	3909137546	0	27496121.46	-14188482.71	150169	150664	158284	158951	3909137546	0
9/24/2026	9/23/2026	1	3909137546	3918689418	0	23105610.72	-13553738.88	150664	151119	158951	159579	3918689418	0


output de la query corta que me pasaste:

CREDITOS_DIARIO=159053
CREDITOS_MATCH=0
CREDITOS_SIN_MATCH=159053
PORCENTAJE_MATCH=0
CREDITOS_MULTIMONEDA=0
159053	0	159053	0	0



con respecto al output de la query grande este es un comentario:
He revisado tu output línea por línea contra los tres bugs que señalaron. Buena noticia parcial, mala noticia real:

Lo que resultó inofensivo en la práctica (aunque sigue siendo un bug real)

Bug #3 (SALDO_ACTUAL - MONTO_DESEMBOLSADO sin restar SALDO_ANTERIOR): revisé las 89 filas y ERROR_RECONCILIACION es 0 exacto en todas, sin excepción. Esto solo puede pasar si, en tu cartera real, ningún crédito (ACCOUNT_NUMBER) recibe un desembolso nuevo mientras ya tenía saldo previo distinto de cero — es decir, cada crédito nace una sola vez y no vuelve a "recargarse". Así que el bug es real en general, pero no se manifestó en tus datos porque el caso que dispara el error simplemente no ocurre en este portafolio. Aun así, lo arreglaría — es gratis y te protege si algún día aparece una línea revolvente o un tramo adicional sobre un crédito existente.

Bug #4 (ACCOUNT_NUMBER IS NOT NULL contaminando el stock oficial): comparé STOCK_FINAL contra lo que ya validamos con Power BI:

Fecha	Tu output	Validado antes
2026-06-30	3,517,310,752.00	3,517,310,751.9987 ✔️
2026-07-31	3,649,397,014.08	3,649,397,014.0826 ✔️

Coincide al centavo. En este portafolio, prácticamente todas las filas ya tienen ACCOUNT_NUMBER poblado, así que el filtro no te está robando saldo. También lo dejaría igual de "gratis": agregar el control SALDO_SIN_IDENTIFICADOR no cuesta nada y te avisaría si esto cambia en el futuro.

Lo que SÍ está roto y se ve clarísimo en tus propios números

Bug #6 (clasificar como movimiento real lo que en realidad son días sin desembolsos cargados después del 17-sep): mira la AMORTIZACION diaria a partir del 18-sep:

Fecha	AMORTIZACION	Lectura correcta
2026-09-18	+22,570,984	Debería ser NULL
2026-09-21	+34,329,138	Debería ser NULL
2026-09-22	+24,193,738	Debería ser NULL
2026-09-23	+27,496,121	Debería ser NULL
2026-09-24	+23,105,611	Debería ser NULL

Compáralo con el resto de tu histórico: la amortización real ronda entre S/ -2M y +9M por día (mira mayo-agosto). Estos cinco días son 3-5 veces más grandes que cualquier otro y todos positivos — la firma inequívoca de desembolsos reales que no se están capturando (porque pasaron después de tu FECHA_HASTA_COMPLETA=17-sep) y que la query está metiendo a la fuerza dentro de "amortización" solo porque no encuentra el desembolso que los explique.

El efecto agregado: septiembre te sale con AMORTIZACION = 178.9M, cuando cualquier otro mes completo (mayo-agosto) está entre 4.9M y 58M. Si entrenas un modelo de pronóstico con esto tal cual, la serie de amortización de tus días más recientes —justo los que más importan para pronosticar— está contaminada con ruido de magnitud varias veces mayor a la señal real.

Veredicto

No la usaría todavía como versión final. El fix es simple y puntual — no requiere tocar la arquitectura, solo:

sql
CASE WHEN FECHA_SNAPSHOT <= P.FECHA_HASTA_COMPLETA THEN NVL(NUEVOS,0) ELSE NULL END AS NUEVOS,
CASE WHEN FECHA_SNAPSHOT <= P.FECHA_HASTA_COMPLETA THEN NVL(AMORTIZACION,0) ELSE NULL END AS AMORTIZACION,
CASE WHEN FECHA_SNAPSHOT <= P.FECHA_HASTA_COMPLETA THEN NVL(FUGA,0) ELSE NULL END AS FUGA,
CASE WHEN FECHA_SNAPSHOT <= P.FECHA_HASTA_COMPLETA THEN ... ELSE NULL END AS ERROR_RECONCILIACION,

(la misma idea que ya tenía tu query original de DataFinal2 con ESTADO_CALIDAD='PENDIENTE_DESEMBOLSOS', que se perdió al reescribir).



